# Force coefficients
# liftDir   : (0.0000e+00 1.0000e+00 0.0000e+00)
# dragDir   : (1.0000e+00 0.0000e+00 0.0000e+00)
# pitchAxis : (4.4208e-01 -6.0854e-02 8.9491e-01)
# magUInf   : 1.0000e+00
# lRef      : 1.0000e+00
# Aref      : 1.0000e+00
# CofR      : (0.0000e+00 0.0000e+00 0.0000e+00)
# Time      	Cm          	Cd          	Cl          	Cl(f)       	Cl(r)       
0.147       	7.7880e-03	1.5601e-01	1.0323e-01	5.9401e-02	4.3825e-02
0.148       	1.2083e-03	1.5112e-01	8.1438e-02	4.1928e-02	3.9511e-02
0.149       	-3.0599e-03	1.4897e-01	6.8745e-02	3.1313e-02	3.7433e-02
0.15        	-4.5870e-03	1.5023e-01	6.5280e-02	2.8053e-02	3.7227e-02
0.151       	-1.0945e-03	1.5459e-01	7.6167e-02	3.6989e-02	3.9178e-02
0.152       	6.8559e-03	1.6208e-01	9.9347e-02	5.6529e-02	4.2818e-02
0.153       	2.0084e-02	1.7388e-01	1.3940e-01	8.9781e-02	4.9614e-02
0.154       	3.6005e-02	1.8831e-01	1.8690e-01	1.2946e-01	5.7445e-02
0.155       	4.9902e-02	2.0187e-01	2.2993e-01	1.6487e-01	6.5065e-02
0.156       	6.5942e-02	2.1703e-01	2.7967e-01	2.0578e-01	7.3893e-02
0.157       	8.1258e-02	2.3305e-01	3.3332e-01	2.4792e-01	8.5404e-02
0.158       	9.5487e-02	2.4625e-01	3.8247e-01	2.8672e-01	9.5748e-02
0.159       	1.0823e-01	2.5777e-01	4.2535e-01	3.2091e-01	1.0444e-01
0.16        	1.2281e-01	2.6909e-01	4.6850e-01	3.5706e-01	1.1143e-01
0.161       	1.3414e-01	2.7803e-01	4.9976e-01	3.8402e-01	1.1574e-01
0.162       	1.4013e-01	2.8300e-01	5.1728e-01	3.9877e-01	1.1851e-01
0.163       	1.4309e-01	2.8522e-01	5.2644e-01	4.0632e-01	1.2013e-01
0.164       	1.4242e-01	2.8518e-01	5.2881e-01	4.0683e-01	1.2198e-01
0.165       	1.4039e-01	2.8302e-01	5.2619e-01	4.0349e-01	1.2270e-01
0.166       	1.3723e-01	2.7880e-01	5.1746e-01	3.9595e-01	1.2150e-01
0.167       	1.3180e-01	2.7163e-01	4.9748e-01	3.8054e-01	1.1694e-01
0.168       	1.2278e-01	2.6180e-01	4.6419e-01	3.5488e-01	1.0931e-01
0.169       	1.0830e-01	2.4747e-01	4.1665e-01	3.1663e-01	1.0002e-01
0.17        	9.2497e-02	2.3326e-01	3.6888e-01	2.7694e-01	9.1945e-02
0.171       	7.7785e-02	2.2110e-01	3.2776e-01	2.4166e-01	8.6095e-02
0.172       	6.0948e-02	2.0771e-01	2.8117e-01	2.0153e-01	7.9637e-02
0.173       	4.7932e-02	1.9712e-01	2.4181e-01	1.6884e-01	7.2973e-02
0.174       	4.0061e-02	1.9001e-01	2.1623e-01	1.4818e-01	6.8055e-02
0.175       	3.3990e-02	1.8512e-01	1.9314e-01	1.3056e-01	6.2578e-02
0.176       	2.5642e-02	1.7967e-01	1.6879e-01	1.1004e-01	5.8755e-02
0.177       	2.3309e-02	1.7959e-01	1.6551e-01	1.0606e-01	5.9447e-02
0.178       	2.2865e-02	1.8172e-01	1.7102e-01	1.0837e-01	6.2643e-02
0.179       	2.9100e-02	1.9039e-01	1.9344e-01	1.2582e-01	6.7621e-02
0.18        	3.4698e-02	1.9662e-01	2.0992e-01	1.3966e-01	7.0262e-02
0.181       	4.2793e-02	2.0437e-01	2.3182e-01	1.5870e-01	7.3119e-02
0.182       	5.5489e-02	2.1631e-01	2.6897e-01	1.8997e-01	7.8995e-02
0.183       	7.1648e-02	2.3141e-01	3.1759e-01	2.3044e-01	8.7148e-02
0.184       	8.1304e-02	2.4038e-01	3.4798e-01	2.5529e-01	9.2686e-02
0.185       	9.2100e-02	2.5058e-01	3.7969e-01	2.8194e-01	9.7743e-02
0.186       	1.0495e-01	2.6187e-01	4.1675e-01	3.1333e-01	1.0342e-01
0.187       	1.1264e-01	2.6797e-01	4.3717e-01	3.3123e-01	1.0594e-01
0.188       	1.1874e-01	2.7206e-01	4.5474e-01	3.4611e-01	1.0864e-01
0.189       	1.2369e-01	2.7428e-01	4.6752e-01	3.5745e-01	1.1007e-01
0.19        	1.2621e-01	2.7583e-01	4.7509e-01	3.6376e-01	1.1133e-01
0.191       	1.2817e-01	2.7684e-01	4.7981e-01	3.6808e-01	1.1173e-01
0.192       	1.2869e-01	2.7703e-01	4.7997e-01	3.6867e-01	1.1130e-01
0.193       	1.2769e-01	2.7508e-01	4.7511e-01	3.6525e-01	1.0986e-01
0.194       	1.2387e-01	2.7043e-01	4.6441e-01	3.5607e-01	1.0834e-01
0.195       	1.1798e-01	2.6384e-01	4.4835e-01	3.4215e-01	1.0620e-01
0.196       	1.1032e-01	2.5579e-01	4.2790e-01	3.2427e-01	1.0364e-01
0.197       	1.0070e-01	2.4728e-01	4.0095e-01	3.0118e-01	9.9774e-02
0.198       	9.2868e-02	2.4087e-01	3.7797e-01	2.8185e-01	9.6115e-02
0.199       	8.4076e-02	2.3445e-01	3.5269e-01	2.6042e-01	9.2271e-02
0.2         	7.4109e-02	2.2669e-01	3.2496e-01	2.3659e-01	8.8372e-02
0.201       	6.6559e-02	2.2122e-01	3.0596e-01	2.1954e-01	8.6420e-02
0.202       	5.9901e-02	2.1611e-01	2.9018e-01	2.0499e-01	8.5187e-02
0.203       	5.1796e-02	2.1126e-01	2.7009e-01	1.8684e-01	8.3251e-02
0.204       	4.9002e-02	2.1025e-01	2.6311e-01	1.8056e-01	8.2553e-02
0.205       	4.8499e-02	2.1187e-01	2.6156e-01	1.7928e-01	8.2281e-02
0.206       	5.0371e-02	2.1553e-01	2.6773e-01	1.8424e-01	8.3494e-02
0.207       	5.3318e-02	2.1949e-01	2.7679e-01	1.9171e-01	8.5078e-02
0.208       	5.7221e-02	2.2388e-01	2.8933e-01	2.0188e-01	8.7443e-02
0.209       	6.6759e-02	2.3309e-01	3.1600e-01	2.2476e-01	9.1240e-02
0.21        	7.2439e-02	2.3883e-01	3.3182e-01	2.3835e-01	9.3468e-02
0.211       	7.9116e-02	2.4495e-01	3.4833e-01	2.5328e-01	9.5047e-02
0.212       	8.9457e-02	2.5392e-01	3.7622e-01	2.7757e-01	9.8655e-02
0.213       	9.6276e-02	2.5932e-01	3.9471e-01	2.9363e-01	1.0108e-01
0.214       	1.0120e-01	2.6292e-01	4.0908e-01	3.0574e-01	1.0334e-01
0.215       	1.0718e-01	2.6698e-01	4.2458e-01	3.1946e-01	1.0511e-01
0.216       	1.1095e-01	2.6939e-01	4.3343e-01	3.2767e-01	1.0576e-01
0.217       	1.1402e-01	2.7121e-01	4.4000e-01	3.3402e-01	1.0598e-01
0.218       	1.1696e-01	2.7313e-01	4.4664e-01	3.4028e-01	1.0636e-01
0.219       	1.1806e-01	2.7360e-01	4.4994e-01	3.4303e-01	1.0691e-01
0.22        	1.1823e-01	2.7298e-01	4.5065e-01	3.4356e-01	1.0710e-01
0.221       	1.1703e-01	2.7114e-01	4.4758e-01	3.4082e-01	1.0676e-01
0.222       	1.1555e-01	2.6848e-01	4.4236e-01	3.3673e-01	1.0564e-01
0.223       	1.1302e-01	2.6609e-01	4.3609e-01	3.3107e-01	1.0503e-01
0.224       	1.1049e-01	2.6372e-01	4.2929e-01	3.2513e-01	1.0416e-01
0.225       	1.0591e-01	2.6029e-01	4.1920e-01	3.1551e-01	1.0369e-01
0.226       	1.0069e-01	2.5663e-01	4.0702e-01	3.0420e-01	1.0283e-01
0.227       	9.5208e-02	2.5283e-01	3.9448e-01	2.9245e-01	1.0203e-01
0.228       	8.9114e-02	2.4862e-01	3.7950e-01	2.7886e-01	1.0064e-01
0.229       	8.4735e-02	2.4508e-01	3.6841e-01	2.6894e-01	9.9470e-02
0.23        	8.1487e-02	2.4296e-01	3.6077e-01	2.6187e-01	9.8897e-02
0.231       	7.8285e-02	2.4108e-01	3.5336e-01	2.5496e-01	9.8394e-02
0.232       	7.5725e-02	2.4012e-01	3.4869e-01	2.5007e-01	9.8619e-02
0.233       	7.3556e-02	2.3955e-01	3.4443e-01	2.4577e-01	9.8658e-02
0.234       	7.1366e-02	2.3918e-01	3.4059e-01	2.4166e-01	9.8930e-02
0.235       	7.0927e-02	2.3967e-01	3.3968e-01	2.4077e-01	9.8913e-02
0.236       	7.1171e-02	2.4084e-01	3.4127e-01	2.4181e-01	9.9465e-02
0.237       	7.3593e-02	2.4343e-01	3.4695e-01	2.4707e-01	9.9884e-02
0.238       	7.7608e-02	2.4785e-01	3.5763e-01	2.5642e-01	1.0121e-01
0.239       	8.2700e-02	2.5306e-01	3.6999e-01	2.6770e-01	1.0230e-01
0.24        	8.5953e-02	2.5653e-01	3.7870e-01	2.7530e-01	1.0340e-01
0.241       	9.1100e-02	2.6127e-01	3.9140e-01	2.8680e-01	1.0460e-01
0.242       	9.5756e-02	2.6503e-01	4.0342e-01	2.9747e-01	1.0596e-01
0.243       	1.0069e-01	2.6873e-01	4.1496e-01	3.0817e-01	1.0679e-01
0.244       	1.0610e-01	2.7257e-01	4.2752e-01	3.1986e-01	1.0766e-01
0.245       	1.0980e-01	2.7529e-01	4.3550e-01	3.2755e-01	1.0795e-01
0.246       	1.1179e-01	2.7676e-01	4.3977e-01	3.3167e-01	1.0810e-01
0.247       	1.1354e-01	2.7786e-01	4.4335e-01	3.3522e-01	1.0813e-01
0.248       	1.1435e-01	2.7804e-01	4.4544e-01	3.3707e-01	1.0837e-01
0.249       	1.1524e-01	2.7809e-01	4.4744e-01	3.3896e-01	1.0848e-01
0.25        	1.1590e-01	2.7776e-01	4.4876e-01	3.4028e-01	1.0848e-01
0.251       	1.1555e-01	2.7704e-01	4.4708e-01	3.3909e-01	1.0799e-01
0.252       	1.1391e-01	2.7550e-01	4.4312e-01	3.3547e-01	1.0765e-01
0.253       	1.1084e-01	2.7315e-01	4.3635e-01	3.2901e-01	1.0734e-01
0.254       	1.0599e-01	2.6915e-01	4.2739e-01	3.1968e-01	1.0771e-01
0.255       	1.0381e-01	2.6726e-01	4.2324e-01	3.1543e-01	1.0781e-01
0.256       	1.0219e-01	2.6576e-01	4.2009e-01	3.1224e-01	1.0786e-01
0.257       	9.9894e-02	2.6393e-01	4.1399e-01	3.0689e-01	1.0710e-01
0.258       	9.7240e-02	2.6234e-01	4.0808e-01	3.0128e-01	1.0680e-01
0.259       	9.4301e-02	2.6065e-01	4.0200e-01	2.9530e-01	1.0670e-01
0.26        	9.0325e-02	2.5838e-01	3.9590e-01	2.8827e-01	1.0762e-01
0.261       	8.8434e-02	2.5730e-01	3.9377e-01	2.8532e-01	1.0845e-01
0.262       	8.7474e-02	2.5696e-01	3.9323e-01	2.8409e-01	1.0914e-01
0.263       	8.8012e-02	2.5779e-01	3.9407e-01	2.8505e-01	1.0902e-01
0.264       	8.7419e-02	2.5843e-01	3.9271e-01	2.8377e-01	1.0893e-01
